algorithm,technique,rank,max_process,m1,n1,m2,n2,total_duration,pre_comm_time,pre_comp_time,main_comm_time,main_comp_time,score,
0,0,0,4,32,32,32,32,2.621,0,2.59543,0,0.0255666,66,
1,0,0,4,32,32,32,32,0.396,0.155923,0.392634,7.9423e-05,0,0,
1,0,1,4,32,32,32,32,0.399,0.0748111,0.392606,0.00242004,0,0,
1,0,2,4,32,32,32,32,0.4,0.0394017,0.392611,0.00291081,0,0,
1,0,3,4,32,32,32,32,0.4,8.9987e-05,0.392603,0.00250035,0,66,
1,0,0,4,32,32,32,32,0.393,0.168325,0.389782,8.0827e-05,0,0,
1,0,1,4,32,32,32,32,0.396,0.0602562,0.389779,0.00228964,0,0,
1,0,2,4,32,32,32,32,0.397,0.0216975,0.389784,0.00308353,0,0,
1,0,3,4,32,32,32,32,0.398,0.000100345,0.389785,0.00251996,0,66,
1,0,0,4,32,32,32,32,0.394,0.138756,0.390739,6.8453e-05,0,0,
1,0,1,4,32,32,32,32,0.397,0.0824334,0.390763,0.00216304,0,0,
1,0,2,4,32,32,32,32,0.398,9.0881e-05,0.39073,0.00253279,0,0,
1,0,3,4,32,32,32,32,0.398,0.0367926,0.390733,0.00223895,0,66,
1,0,0,4,32,32,32,32,0.36,0.158228,0.35673,7.4097e-05,0,0,
1,0,1,4,32,32,32,32,0.363,0.0404247,0.356722,0.00236522,0,0,
1,0,2,4,32,32,32,32,0.364,0.00835083,0.356721,0.00260573,0,0,
1,0,3,4,32,32,32,32,0.364,8.8086e-05,0.35673,0.00210637,0,66,
1,0,0,4,64,64,64,64,29.091,14.1363,29.0239,0.000584653,0,0,
1,0,1,4,64,64,64,64,29.145,7.23267,29.0239,0.0416743,0,0,
1,0,2,4,64,64,64,64,29.156,3.0685,29.0239,0.0428127,0,0,
1,0,3,4,64,64,64,64,29.175,0.0404428,29.0641,0.0113112,0,130,
0,0,0,1,32,32,32,32,2.507,0,2.48179,0,0.0252107,66,
1,0,0,4,32,32,32,32,0.448,0.199366,0.245094,8.7769e-05,0.00345226,0,
1,0,1,4,32,32,32,32,0.453,0.0450875,0.399371,0.00309731,0.00544465,0,
1,0,2,4,32,32,32,32,0.454,9.8877e-05,0.444367,0.00385986,0.00567426,0,
1,0,3,4,32,32,32,32,0.454,0.0106055,0.433849,0.0035342,0.00601132,66,
1,0,0,4,32,32,32,32,0.445,0.163776,0.27751,9.9485e-05,0.00361482,0,
1,0,1,4,32,32,32,32,0.45,0.0383015,0.40298,0.00316464,0.00555398,0,
1,0,2,4,32,32,32,32,0.451,0.0127623,0.42852,0.00398911,0.00572896,0,
1,0,3,4,32,32,32,32,0.451,9.1746e-05,0.44119,0.00363899,0.00607973,66,
0,0,0,1,48,48,43,36,15.007,0,14.9242,0,0.0827538,859,
0,0,0,1,48,48,43,36,14.919,0,14.834,0,0.0850022,859,
0,0,0,1,48,48,43,36,14.723,0,14.6456,0,0.0773986,859,
0,0,0,1,48,48,43,36,15.054,0,14.9715,0,0.0825124,859,
1,0,0,1,48,48,43,36,7.215,1.5091e-05,7.17518,2.413e-06,0.0398008,859,
1,0,0,1,48,48,43,36,7.186,1.4847e-05,7.14671,2.19e-06,0.0392774,859,
1,0,0,1,48,48,43,36,7.162,1.5214e-05,7.12299,2.216e-06,0.0389937,859,
1,0,0,1,48,48,43,36,7.187,1.4502e-05,7.14769,2.403e-06,0.0392886,859,
0,0,0,1,48,48,48,48,24.871,0,24.7657,0,0.105306,98,
0,0,0,1,4,4,4,4,0,0,0.000113385,0,-0.000113385,10,
0,0,0,1,4,4,4,4,0,0,0.000113504,0,-0.000113504,10,
0,0,0,1,4,4,4,4,0,0,0.000174071,0,-0.000174071,10,
1,0,0,8,64,64,64,64,18.543,10.106,8.38222,0.000741396,0.053996,0,
1,0,1,8,64,64,64,64,18.597,6.78938,11.6989,0.0424603,0.0662835,0,
1,0,2,8,64,64,64,64,18.609,5.9571,12.5312,0.0381255,0.0826203,0,
1,0,3,8,64,64,64,64,18.61,4.69291,13.7953,0.0475222,0.0742258,0,
1,0,4,8,64,64,64,64,18.611,3.55733,14.9309,0.0417947,0.0809421,0,
1,0,5,8,64,64,64,64,18.611,1.36911,17.1191,0.031283,0.0914672,0,
1,0,6,8,64,64,64,64,18.612,0.000248482,18.488,0.0249436,0.0987942,0,
1,0,7,8,64,64,64,64,18.612,2.6222,15.8661,0.0265833,0.0971538,130,
